Humidity_in,Temperature_in,Humidity_out,Temperature_out,Humidity_box,Temperature_box,Wind_Speed,Temperature_towel,Temperature_bed,Humidity_towel_raw
56,22.4,57,24,53,24.4,6.78,19.99,121.97,442
56,22.4,57,24,53,24.4,7.01,19.73,121.97,443
56,22.4,57,24,53,24.4,6.58,19.73,114.62,442
56,22.4,57,24,53,24.4,6.37,19.99,114.62,442
56,22.4,57,23.9,53,24.4,6.37,19.73,114.62,442
56,22.4,57,23.9,52,24.4,6.37,19.99,114.62,442
56,22.4,57,23.9,52,24.4,6.1,19.99,114.62,442
56,22.3,57,23.9,53,24.4,6.51,19.99,114.62,443
56,22.3,57,23.9,52,24.4,6.04,19.73,108.58,443
56,22.3,57,23.9,53,24.4,6.31,20.24,108.58,443
56,22.3,57,23.8,53,24.4,6.37,20.24,108.58,443
56,22.3,57,23.8,52,24.4,6.31,20.24,108.58,443
56,22.3,57,23.8,52,24.3,6.45,20.24,103.47,443
56,22.3,57,23.8,52,24.3,6.59,19.99,103.47,443
56,22.3,58,23.8,52,24.3,6.31,19.99,99.05,443
56,22.2,57,23.8,53,24.3,6.73,20.24,103.47,443
56,22.3,58,23.8,53,24.3,6.8,19.99,99.05,443
56,22.3,58,23.8,53,24.3,6.18,19.99,99.05,443
56,22.2,58,23.8,52,24.3,6.18,19.99,99.05,443
56,22.2,58,23.7,52,24.3,6.24,19.99,95.17,444
56,22.2,57,23.8,52,24.3,6.18,19.99,95.17,443
56,22.2,57,23.7,52,24.3,6.73,19.99,95.17,443
56,22.2,58,23.7,52,24.3,6.59,19.73,91.71,444
56,22.2,57,23.7,52,24.3,6.18,19.99,95.17,444
56,22.2,58,23.7,52,24.3,6.8,19.73,91.71,444
56,22.2,57,23.7,52,24.3,6.8,19.73,91.71,444
56,22.2,58,23.7,52,24.3,6.37,20.24,91.71,444
56,22.2,57,23.7,52,24.3,6.31,19.99,88.6,444
56,22.2,58,23.7,52,24.3,6.65,20.24,88.6,445
56,22.2,58,23.7,52,24.2,6.8,19.99,88.6,445
56,22.2,57,23.7,52,24.2,6.19,21.56,114.62,445
56,22.2,59,23.7,53,24.3,6.25,21.03,103.47,447
57,22.2,60,23.7,55,24.2,5.54,21.29,114.62,449
56,22.3,60,23.7,56,24.2,5.67,21.29,108.58,450
56,22.3,61,23.8,56,24.2,5.72,21.03,103.47,451
56,22.3,61,23.8,56,24.2,5.67,21.29,108.58,450
56,22.2,61,23.8,56,24.2,5.8,21.03,108.58,451
56,22.3,61,23.8,56,24.2,5.54,20.76,108.58,452
56,22.3,61,23.8,56,24.3,6.19,20.5,103.47,452
56,22.3,61,23.8,56,24.3,5.8,20.5,99.05,452
56,22.3,61,23.8,56,24.2,5.85,21.03,103.47,452
56,22.3,60,23.9,56,24.3,5.85,21.03,103.47,453
56,22.3,60,23.9,56,24.2,5.65,20.76,108.58,454
56,22.3,60,23.9,55,24.3,5.46,20.5,99.05,454
56,22.3,60,23.9,56,24.2,5.26,20.5,99.05,454
